"","GRID_ID","EFH_2010","EFH_2011","EFH_2012","EFH_2013","EFH_2014","STW_2010","STW_2011","STW_2012","STW_2013","STW_2014"
"1362","P-39",365,366,362,363,362,1656,1624,1665,1693,1716
"1363","P-40",208,207,210,209,208,1077,1301,1153,1160,1164
"1364","P-41",145,144,144,144,142,821,821,821,821,822
"1365","P-42",73,73,73,73,74,63,63,63,63,63
"1366","P-43",268,269,269,269,268,1477,1474,1481,1479,1471
"1367","P-44",451,451,451,452,452,430,430,445,445,444
"1368","P-45",6,6,5,5,5,14,16,18,18,18
"1369","P-46",0,0,0,0,0,0,0,0,0,0
"1370","P-47",88,90,87,87,87,8,8,11,11,11
"1371","P-48",186,184,187,186,186,336,339,337,360,359
"1372","P-49",7,8,7,7,7,17,14,17,17,17
"1373","P-50",27,27,27,26,26,13,13,13,15,15
"1374","P-8",0,0,0,0,0,0,0,0,0,0
"1375","P-9",51,50,52,52,52,13,16,16,14,14
"1376","Q-10",0,0,0,0,0,7,7,6,6,6
"1377","Q-11",0,0,0,0,0,0,0,0,0,0
"1378","Q-15",0,0,0,0,0,0,0,0,0,0
"1379","Q-16",0,0,0,0,0,0,0,0,0,0
"1380","Q-17",0,0,0,0,0,0,0,0,0,0
"1381","Q-18",120,120,120,99,100,62,65,65,82,85
"1382","Q-19",41,39,41,42,42,136,107,139,126,126
"1383","Q-20",104,106,105,105,106,29,24,31,32,35
"1384","Q-21",129,132,128,128,127,87,87,108,123,123
"1385","Q-22",127,128,129,127,124,482,490,541,544,566
"1386","Q-23",47,47,47,47,45,270,270,276,276,281
"1387","Q-24",0,0,0,0,0,0,0,0,0,0
"1388","Q-25",0,0,0,0,0,0,0,0,0,0
"1389","Q-26",0,0,0,0,0,0,0,0,0,0
"1390","Q-27",0,0,0,0,0,0,0,0,0,0
"1391","Q-28",21,21,20,20,20,1363,1350,1366,1409,1412
"1392","Q-29",169,171,173,173,170,1593,1565,1878,2309,2649
"1393","Q-30",81,82,82,83,83,2833,2981,3085,3091,3171
"1394","Q-31",122,123,119,120,121,3811,3780,3844,3863,3890
"1395","Q-32",163,169,169,169,173,869,863,866,869,864
"1396","Q-33",174,179,179,180,180,4153,4203,4269,4287,4275
"1397","Q-34",56,58,58,59,58,2653,2643,2699,2701,2727
"1398","Q-35",29,30,30,31,30,5029,5105,5186,5210,5238
"1399","Q-36",7,7,7,9,9,3565,3548,3560,3571,3582
"1400","Q-38",0,0,0,0,0,0,0,0,0,0
"1401","Q-39",99,101,101,101,100,663,664,669,700,718
"1402","Q-40",233,233,233,232,230,1236,1207,1248,1251,1268
"1403","Q-41",217,218,214,208,211,1062,1110,1093,1112,1141
"1404","Q-42",341,346,345,346,346,331,336,327,342,359
"1405","Q-43",132,131,132,132,130,1111,1113,1122,1130,1126
"1406","Q-44",5,4,5,5,5,0,0,0,0,0
"1407","Q-45",0,0,0,0,0,18,18,18,18,17
"1408","Q-46",0,0,0,0,0,0,0,0,0,0
"1409","Q-47",0,0,0,0,0,0,0,0,0,0
"1410","Q-48",8,8,7,9,11,17,17,17,21,24
"1411","Q-49",168,170,170,173,176,97,97,94,121,116
"1412","Q-50",0,0,0,0,0,0,0,0,0,0
"1413","Q-8",0,0,0,0,0,0,0,0,0,0
"1414","Q-9",5,6,5,5,4,57,26,57,75,76
"1415","R-10",0,0,0,0,0,0,0,0,0,0
"1416","R-11",0,0,0,0,0,0,0,0,0,0
"1417","R-14",0,0,0,0,0,0,0,0,0,0
"1418","R-15",0,0,0,0,0,0,0,0,0,0
"1419","R-16",78,78,80,80,84,78,78,78,78,78
"1420","R-17",0,0,0,0,0,17,17,19,19,19
"1421","R-18",188,186,191,191,195,149,154,160,159,165
"1422","R-19",0,0,0,0,0,5,5,5,5,5
"1423","R-20",16,16,15,15,15,26,26,28,28,29
"1424","R-21",0,0,0,0,0,0,0,0,0,0
"1425","R-22",42,42,42,42,32,11,11,31,36,46
"1426","R-23",70,66,68,68,68,219,227,237,234,232
"1427","R-24",67,67,67,67,67,64,64,65,68,68
"1428","R-25",0,0,0,0,0,0,0,0,0,0
"1429","R-26",0,0,0,0,0,0,0,0,0,0
"1430","R-27",5,5,5,6,6,39,39,39,39,39
"1431","R-28",43,41,41,41,41,2267,2279,2267,2327,2331
"1432","R-29",53,53,56,56,56,2920,2920,2920,2953,2970
"1433","R-30",192,192,192,192,192,518,501,502,605,679
"1434","R-31",597,600,601,602,602,3589,3553,3572,3609,3684
"1435","R-32",5,5,5,5,5,0,0,0,0,0
"1436","R-33",9,10,9,9,9,60,68,69,71,70
"1437","R-34",195,204,204,203,202,1602,1699,1704,1722,1723
"1438","R-35",252,254,256,258,257,3049,3142,3124,3217,3228
"1439","R-36",75,82,83,83,83,3511,3604,3650,3655,3650
"1440","R-37",107,110,110,106,104,1072,1153,1157,1167,1157
"1441","R-38",63,63,63,64,63,282,283,289,295,297
"1442","R-41",21,21,20,20,20,158,158,164,170,170
"1443","R-42",212,212,210,212,212,1651,1638,1658,1642,1645
"1444","R-43",246,245,243,238,237,3486,3479,3556,3567,3579
"1445","R-44",16,15,16,16,16,32,31,32,32,33
"1446","R-45",0,0,0,0,0,0,0,0,0,0
"1447","R-46",0,0,0,0,0,5,5,5,5,6
"1448","R-47",0,0,0,0,0,0,0,0,0,0
"1449","R-48",0,0,0,0,0,7,7,7,7,7
"1450","R-49",7,7,7,7,7,17,17,17,17,17
"1451","R-50",7,7,7,8,7,20,20,20,20,20
"1452","R-9",0,0,0,0,0,0,0,0,0,0
"1453","S-11",0,0,0,0,0,0,0,0,0,0
"1454","S-12",0,0,0,0,0,5,5,5,5,5
"1455","S-13",0,0,0,0,0,10,10,10,10,10
"1456","S-14",0,0,0,0,0,0,0,0,0,0
"1457","S-15",0,0,0,0,0,0,0,0,0,0
"1458","S-16",0,0,0,0,0,0,0,0,0,0
"1459","S-17",168,171,170,169,169,357,362,361,361,372
"1460","S-18",203,200,201,204,217,602,597,617,624,638
"1461","S-19",99,101,100,100,99,144,143,140,134,135
"1462","S-20",0,0,0,0,0,4,4,4,4,4
